policy,epsilon,max_leafness,min_conductance,allow_singleton_endpoint,q_debt_budget,n_candidates_after_filters,n_selected,estimated_active_clusters_after,sum_delta_q,q_debt,size_band_gain,within_band_delta,below_min_delta,above_max_delta,singleton_endpoint_pairs,both_singleton_pairs,selected_doc_weight_p50,selected_doc_weight_p90,selected_leafness_p90,selected_conductance_p50
eps1e-4_band,0.0001,,,True,,217,216,1612679,-0.011309724072243687,0.011309724072243687,53993.0,0,-216,0,216,169,14.0,52.0,0.4021462005099592,0.9933167233945359
eps1e-4_no_singletons,0.0001,,,False,,0,0,1612895,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
eps1e-4_leaf<=0.8,0.0001,0.8,,True,,217,216,1612679,-0.011309724072243687,0.011309724072243687,53993.0,0,-216,0,216,169,14.0,52.0,0.4021462005099592,0.9933167233945359
eps1e-4_boundary_c>=0.8,0.0001,,0.8,True,,217,216,1612679,-0.011309724072243687,0.011309724072243687,53993.0,0,-216,0,216,169,14.0,52.0,0.4021462005099592,0.9933167233945359
eps1e-4_merged_within,0.0001,,,True,,5,5,1612890,-0.00031085540735986683,0.00031085540735986683,1243.0,0,-5,0,5,0,519.0,576.6,0.41821015851342813,1.0
eps3e-4_band_debt0.05,0.0003,,,True,0.05,662,462,1612433,-0.04987639814222257,0.04987639814222257,115477.0,0,-462,0,462,350,14.0,57.50000000000017,0.42754532337904644,0.9927799544088945
eps3e-4_leaf<=0.8_debt0.05,0.0003,0.8,,True,0.05,657,461,1612434,-0.04986592011653802,0.04986592011653802,115227.0,0,-461,0,461,350,14.0,58.0,0.42347166776050243,0.9929561834246465
eps3e-4_boundary_leaf<=0.9_debt0.05,0.0003,0.9,0.8,True,0.05,657,461,1612434,-0.04986592011653802,0.04986592011653802,115227.0,0,-461,0,461,350,14.0,58.0,0.42347166776050243,0.9929561834246465
eps3e-4_merged_within_debt0.05,0.0003,,,True,0.05,23,23,1612872,-0.00411028039254413,0.00411028039254413,5718.0,0,-23,0,23,0,440.0,599.8,0.43220752529834544,1.0
eps1e-3_band_debt0.5,0.001,,,True,0.5,2321,1493,1611402,-0.4997559412048679,0.4997559412048679,373191.0,0,-1493,0,1493,1168,14.0,54.59999999999991,0.4272615797400747,1.0
eps1e-3_no_singletons_debt0.5,0.001,,,False,0.5,0,0,1612895,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
eps1e-3_leaf<=0.8_debt0.5,0.001,0.8,,True,0.5,2300,1488,1611407,-0.49971592730782893,0.49971592730782893,371941.0,0,-1488,0,1488,1162,14.0,57.299999999999955,0.41954537379280393,1.0
eps1e-3_boundary_leaf<=0.9_debt0.5,0.001,0.9,0.8,True,0.5,2302,1488,1611407,-0.4994831749542379,0.4994831749542379,371941.0,0,-1488,0,1488,1163,14.0,55.59999999999991,0.42153573686273277,1.0
eps1e-3_merged_within_debt0.5,0.001,,,True,0.5,80,80,1612815,-0.04195228655878047,0.04195228655878047,19893.0,0,-80,0,80,0,429.0,600.2,0.4659438583822756,1.0
utility_eps1e-3_debt0.5,0.001,0.9,,True,0.5,2302,1487,1611408,-0.49944703428533954,0.49944703428533954,371691.0,0,-1487,0,1487,1161,14.0,57.40000000000009,0.41644528294714556,1.0
